-10	-99,34736402
-9,9	-101,5792302
-9,8	-102,7496346
-9,7	-102,8849896
-9,6	-102,0223699
-9,5	-100,2087227
-9,4	-97,49998819
-9,3	-93,96014226
-9,2	-89,66017691
-9,1	-84,67703078
-9	-79,09248485
-8,9	-72,9920373
-8,8	-66,46377171
-8,7	-59,5972323
-8,6	-52,48231966
-8,5	-45,20821951
-8,4	-37,86237661
-8,3	-30,52952463
-8,2	-23,29078229
-8,1	-16,22282446
-8	-9,397136191
-7,9	-2,879356061
-7,8	3,271285881
-7,7	9,002431681
-7,6	14,26895801
-7,5	19,03323645
-7,4	23,26529157
-7,3	26,94285823
-7,2	30,05134077
-7,1	32,58367764
-7	34,54011665
-6,9	35,92790639
-6,8	36,76091074
-6,7	37,05915399
-6,6	36,8483047
-6,5	36,15910711
-6,4	35,02676918
-6,3	33,49031685
-6,2	31,59192391
-6,1	29,37622732
-6	26,88963733
-5,9	24,17965185
-5,8	21,29418391
-5,7	18,28091079
-5,6	15,18665278
-5,5	12,05678888
-5,4	8,93471603
-5,3	5,861357659
-5,2	2,874726582
-5,1	0,009546208
-5	-2,703066737
-4,9	-5,235855812
-4,8	-7,565613544
-4,7	-9,673304886
-4,6	-11,54412609
-4,5	-13,16750047
-4,4	-14,53701349
-4,3	-15,65029022
-4,2	-16,50881913
-4,1	-17,1177267
-4	-17,48550792
-3,9	-17,62371837
-3,8	-17,54663375
-3,7	-17,27088316
-3,6	-16,81506267
-3,5	-16,19933572
-3,4	-15,44502685
-3,3	-14,57421548
-3,2	-13,60933576
-3,1	-12,57278874
-3	-11,48657245
-2,9	-10,37193511
-2,8	-9,24905633
-2,7	-8,136760239
-2,6	-7,052264406
-2,5	-6,010967237
-2,4	-5,026276168
-2,3	-4,109478165
-2,2	-3,269653319
-2,1	-2,513631651
-2	-1,845992493
-1,9	-1,26910517
-1,8	-0,783209051
-1,7	-0,386530411
-1,6	-0,075433012
-1,5	0,155401184
-1,4	0,312765222
-1,3	0,404698661
-1,2	0,44024207
-1,1	0,429179403
-1	0,381773291
-0,9	0,308498293
-0,8	0,219777167
-0,7	0,125725053
-0,6	0,035906305
-0,5	-0,04089159
-0,4	-0,096862904
-0,3	-0,125363654
-0,2	-0,121063471
-0,1	-0,080066617
0	0
0,1	0,119933383
0,2	0,278936529
0,3	0,474636346
0,4	0,703137096
0,5	0,95910841
0,6	1,235906305
0,7	1,525725053
0,8	1,819777167
0,9	2,108498293
1	2,381773291
1,1	2,629179403
1,2	2,84024207
1,3	3,004698661
1,4	3,112765222
1,5	3,155401184
1,6	3,124566988
1,7	3,013469589
1,8	2,816790949
1,9	2,53089483
2	2,154007507
2,1	1,686368349
2,2	1,130346681
2,3	0,490521835
2,4	-0,226276168
2,5	-1,010967237
2,6	-1,852264406
2,7	-2,736760239
2,8	-3,64905633
2,9	-4,571935114
3	-5,486572445
3,1	-6,372788741
3,2	-7,209335763
3,3	-7,974215485
3,4	-8,645026853
3,5	-9,199335716
3,6	-9,615062672
3,7	-9,870883155
3,8	-9,946633746
3,9	-9,823718368
4	-9,485507915
4,1	-8,917726697
4,2	-8,108819133
4,3	-7,05029022
4,4	-5,737013488
4,5	-4,167500468
4,6	-2,344126087
4,7	-0,273304886
4,8	2,034386456
4,9	4,564144188
5	7,296933263
5,1	10,20954621
5,2	13,27472658
5,3	16,46135766
5,4	19,73471603
5,5	23,05678888
5,6	26,38665278
5,7	29,68091079
5,8	32,89418391
5,9	35,97965185
6	38,88963733
6,1	41,57622732
6,2	43,99192391
6,3	46,09031685
6,4	47,82676918
6,5	49,15910711
6,6	50,0483047
6,7	50,45915399
6,8	50,36091074
6,9	49,72790639
7	48,54011665
7,1	46,78367764
7,2	44,45134077
7,3	41,54285823
7,4	38,06529157
7,5	34,03323645
7,6	29,46895801
7,7	24,40243168
7,8	18,87128588
7,9	12,92064394
8	6,602863809
8,1	-0,022824459
8,2	-6,890782288
8,3	-13,92952463
8,4	-21,06237661
8,5	-28,20821951
8,6	-35,28231966
8,7	-42,1972323
8,8	-48,86377171
8,9	-55,1920373
9	-61,09248485
9,1	-66,47703078
9,2	-71,26017691
9,3	-75,36014226
9,4	-78,69998819
9,5	-81,20872274
9,6	-82,82236989
9,7	-83,48498962
9,8	-83,14963464
9,9	-81,77923022
10	-79,34736402
